name,rating,vicinity,type,arrondissement,latitude,longitude,user_ratings_total,zip_code
Le Pachyderme,3.8,"2 Boulevard Saint-Martin, Paris",restaurant,3e,48.8682647,2.3613153,2100,75003
Le Pain Quotidien,4.3,"18-20 Rue des Archives, Paris",restaurant,3e,48.8578962,2.3549047,2496,75003
Au Père Fouettard,4,"9 Rue Pierre Lescot, Paris",restaurant,3e,48.86264060000001,2.3483652,2658,75003
ASTIER restaurant ouvert 7j/7 canal Saint-Martin/République,4.3,"44 Rue Jean-Pierre Timbaud, Paris",restaurant,3e,48.8662143,2.372030000000001,540,75003
Crêperie Suzette,4.3,"24 Rue des Francs Bourgeois, Paris",restaurant,3e,48.857838,2.3606329,1148,75003
Le Petit Japonais,4.5,"13 Rue Cloche Percé, Paris",restaurant,3e,48.85639920000001,2.3571559,739,75003
Musée National Picasso-Paris,4.4,"5 Rue de Thorigny, Paris",museum,3e,48.8598775,2.362285,12571,75003
Maison Européenne de la Photographie,4.5,"5/7 Rue de Fourcy, Paris",museum,3e,48.8551679,2.3590571,2691,75003
Musée Carnavalet,4.7,"23 Rue de Sévigné, Paris",museum,3e,48.85706690000001,2.3628579,8496,75003
Maison de Victor Hugo,4.5,"6 Place des Vosges, Paris",museum,3e,48.85482560000001,2.3661911,3989,75003
Mémorial de la Shoah,4.6,"17 Rue Geoffroy l'Asnier, Paris",museum,3e,48.8549507,2.3562052,3537,75003
Soc Des Amis Musee Carnavalet,4.1,"23 Rue de Sévigné, Paris",museum,3e,48.8581977,2.3647272,14,75003
Musée Cognacq-Jay,4.4,"8 Rue Elzevir, Paris",museum,3e,48.8582019,2.3615056,1596,75003
Pavillon de l'Arsenal,4.3,"21 Boulevard Morland, Paris",museum,3e,48.85071199999999,2.362425,1575,75003
Musée de la Magie,4,"11 Rue Saint-Paul, Paris",museum,3e,48.85313610000001,2.361217,1044,75003
Zen+DCO,3,"176 Rue du Temple, Paris",museum,3e,48.866754,2.3624757,2,75003
Musée de poche,4.4,"41 Rue de la Fontaine au Roi, Paris",museum,3e,48.86838029999999,2.371962399999999,91,75003
LOVSOglass,Note non disponible,"5 Rue Froissart, Paris",museum,3e,48.8613144,2.3664848,Aucune évaluation,75003
Musée Transitoire,4.8,"32 Rue Saint-Paul, Paris",museum,3e,48.8540202,2.3622792,5,75003
"Michel Lhéritier, guide-conférencier",4,"27 Passage Dubail, Paris",museum,3e,48.87369580000001,2.3608476,4,75003
Danysz Gallery,4.6,"78 Rue Amelot, Paris",museum,3e,48.8606072,2.3681296,67,75003
atelier d'artistes,5,"6 Rue de Vaucouleurs, Paris",museum,3e,48.8685473,2.3781473,1,75003
Lafayette Anticipations,4.4,"9 Rue du Plâtre, Paris",museum,3e,48.8591728,2.3548369,604,75003
Galerie la Ferronnerie,5,"40 Rue de la Folie Méricourt, Paris",museum,3e,48.86348599999999,2.372661,8,75003
Modus Art Gallery,4.7,"23 Place des Vosges, Paris",museum,3e,48.8563431,2.365221,69,75003
Bibliothèque de l'Arsenal,4.6,"1 Rue de Sully, Paris",museum,3e,48.8503423,2.3635374,44,75003
Galerie Autres Images,Note non disponible,"16 Rue du Perche, Paris",museum,3e,48.861192,2.3608697,Aucune évaluation,75003
blog de corinne bacharach,4.5,"42 Boulevard du Temple, Paris",museum,3e,48.8656695,2.3656538,2,75003
Perrotin,4.7,"76 Rue de Turenne, Paris",museum,3e,48.86050299999999,2.364727799999999,661,75003
Beaubourg,4.1,"82 Rue Beaubourg, Paris",museum,3e,48.8643677,2.355427300000001,27,75003
Espace Despalles,4,"16 Rue Sainte-Anastase, Paris",museum,3e,48.8598586,2.3634348,2,75003
National Archives Museum - Hôtel de Soubise,4.5,"60 Rue des Francs Bourgeois, Paris",museum,3e,48.8599697,2.3572959,2609,75003
Centre Pompidou administration,4.8,"4 Rue Brantôme, Paris",museum,3e,48.861587,2.352784,5,75003
Backtothestreet,5,"16 Rue Sainte-Croix de la Bretonnerie, Paris",museum,3e,48.8581619,2.3567248,3,75003
Musée National d'Art Moderne,4.5,"Place Georges-Pompidou, Paris",museum,3e,48.86032590000001,2.3524515,285,75003
Benny Velvet Flames Institute,4,"19 Rue Ferdinand Duval, Paris",museum,3e,48.8569632,2.3596295,1,75003
ATELIER DES LUMIERES,Note non disponible,"10 BIS Rue de la Pierre Levée, Paris",museum,3e,48.867465,2.370545,Aucune évaluation,75003
